,Team,P,W,D,L,GF,GA,GD,Pts
0,Real Madrid,38,26,8,4,80,31,+49,86
1,Barcelona,38,21,10,7,68,38,+30,73
2,Atletico Madrid,38,21,8,9,65,43,+22,71
3,Sevilla,38,18,16,4,53,30,+23,70
4,Real Betis,38,19,8,11,62,40,+22,65
5,Real Sociedad,38,17,11,10,40,37,+3,62
6,Villarreal,38,16,11,11,63,37,+26,59
7,Athletic Club,38,14,13,11,43,36,+7,55
8,Valencia,38,11,15,12,48,53,-5,48
9,Osasuna,38,12,11,15,37,51,-14,47
10,Celta Vigo,38,12,10,16,43,43,0,46
11,Rayo Vallecano,38,11,9,18,39,50,-11,42
12,Elche,38,11,9,18,40,52,-12,42
13,Espanyol,38,10,12,16,40,53,-13,42
14,Getafe,38,8,15,15,33,41,-8,39
15,Mallorca,38,10,9,19,36,63,-27,39
16,Cadiz,38,8,15,15,35,51,-16,39
17,Granada,38,8,14,16,44,61,-17,38
18,Levante,38,8,11,19,51,76,-25,35
19,Deportivo Alaves,38,8,7,23,31,65,-34,31
