,Name,Apps,Fouls_pg,Fouls_Tackles,Pen_pg,Yel_pg,Yel,Red_pg,Red
0,Benoît Bastien,21,26.14,0.69,0.33,4.29,90,0.48,10
1,Antony Gautier,21,28.24,0.78,0.43,3.48,73,0.33,7
2,Jerome Brisard,20,27.4,0.8,0.25,3.35,67,0.25,5
3,Jerome Miguelgorry,20,24.7,0.69,0.45,3.7,74,0.3,6
4,Thomas Leonard,19,26.05,0.76,0.32,3.84,73,0.37,7
5,Frank Schneider,19,26.74,0.77,0.63,3.84,73,0.21,4
6,Hakim Ben El Hadj,19,27.63,0.78,0.26,3.26,62,0.42,8
7,Ruddy Buquet,19,25.79,0.71,0.47,4.16,79,0.11,2
8,Willy Delajod,19,27.84,0.71,0.58,3.16,60,0.16,3
9,Clément Turpin,19,26.05,0.65,0.58,3.11,59,0.16,3
10,Johan Hamel,18,24.39,0.71,0.39,3.0,54,0.39,7
11,François Letexier,18,25.72,0.67,0.33,3.67,66,0.22,4
12,Karim Abed,18,23.22,0.61,0.22,3.33,60,0.28,5
13,Mikael Lesage,18,24.39,0.61,0.28,3.94,71,0.22,4
14,Olivier Thual,18,26.67,0.75,0.22,3.06,55,0.11,2
15,Florent Batta,17,32.71,0.96,0.35,2.24,38,0.41,7
16,Benoît Millot,17,26.88,0.7,0.29,4.29,73,0.18,3
17,Amaury Delerue,17,24.82,0.68,0.24,3.82,65,0.06,1
18,Eric Wattellier,16,24.25,0.64,0.31,3.25,52,0.31,5
19,Nicolas Rainville,13,28.92,0.83,0.46,4.31,56,0.15,2
20,Jeremy Stinat,12,29.25,0.87,0.17,3.25,39,0.42,5
21,Stéphanie Frappart,2,29.5,0.72,0.5,4.5,9,0.0,0
22,Ruddy Buquet,16,20.75,0.54,0.25,3.06,49,0.25,4
23,Antony Gautier,16,26.13,0.72,0.31,3.88,62,0.31,5
24,Hakim Ben El Hadj,15,29.93,0.86,0.27,3.93,59,0.07,1
25,Willy Delajod,15,28.53,0.77,0.53,4.13,62,0.2,3
26,Johan Hamel,14,26.93,0.73,0.36,3.21,45,0.07,1
27,Thomas Leonard,14,25.64,0.74,0.29,3.71,52,0.14,2
28,Frank Schneider,14,27.86,0.78,0.57,3.86,54,0.14,2
29,Jerome Brisard,14,26.07,0.76,0.36,3.29,46,0.29,4
30,François Letexier,14,27.57,0.82,0.29,4.14,58,0.57,8
31,Amaury Delerue,14,29.07,0.78,0.36,4.21,59,0.57,8
32,Karim Abed,13,22.62,0.63,0.08,2.69,35,0.38,5
