,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
21,Ethan Pinnock,Brentford,30, D(C),30,2700,3,-,-,-,0.5,80.2,3.5,2,7.11
22,Aleksandar Mitrovic,Fulham,29, FW,23(1),2015,14,1,7,-,3.9,60.5,4.2,4,7.08
23,Marcus Rashford,Man Utd,26," AM(CLR),FW",32(3),2890,17,5,2,-,3.1,78.7,0.6,6,7.08
24,Thomas Partey,Arsenal,30," D(R),M(CR)",28(5),2487,3,-,5,-,0.8,88,1.1,1,7.06
25,Cody Gakpo,Liverpool,24," AM(CLR),FW",17(4),1465,7,2,-,-,1.9,78.4,1.2,-,7.06
26,Alexander Isak,Newcastle,24," AM(L),FW",17(5),1527,10,1,3,-,2.3,77.8,1,1,7.06
27,Alexis Mac Allister,Brighton,25," M(CL),FW",31(4),2886,10,2,8,-,2.5,87.2,0.7,4,7.05
28,Fabian Schär,Newcastle,32, D(C),36,3209,1,3,7,-,1.6,77.7,3.1,2,7.05
29,Declan Rice,West Ham,25," D(C),DMC",36(1),3272,4,2,5,-,1,88,1,1,7.02
30,Pierre-Emile Højbjerg,Tottenham,28, M(C),35,3133,4,5,5,-,0.9,88.6,0.8,3,7.02
31,Eberechi Eze,Crystal Palace,25, AM(CLR),30(8),2644,10,4,3,-,1.9,82.4,0.5,4,7.02
32,Riyad Mahrez,Man City,33," AM(CLR),FW",22(8),1924,5,10,2,-,1.4,86.8,0.3,2,7.01
33,Bryan Mbeumo,Brentford,24," AM(LR),FW",36(2),2931,9,8,5,-,1.9,73.7,0.9,4,7.01
34,Kaoru Mitoma,Brighton,26, M(L),24(9),2318,7,5,-,-,1.6,83.3,0.5,4,7.00
35,Pascal Groß,Brighton,32," D(LR),M(CR),FW",37,3246,9,8,7,-,1.1,86,0.3,2,7.00
36,Michael Olise,Crystal Palace,22, AM(CLR),31(6),2757,2,11,2,-,1.4,78.4,0.5,5,6.99
37,Dwight McNeil,Everton,24, M(CLR),28(8),2502,7,3,5,-,1.3,76.4,0.4,4,6.99
38,Willian,Fulham,35, AM(CLR),25(2),2144,5,5,2,-,1.5,82.3,0.3,3,6.99
39,Ben Mee,Brentford,34, D(CL),37,3272,3,2,2,-,0.8,77.1,3.6,2,6.98
40,Kenny Tete,Fulham,28," D(CR),M(R)",29(2),2575,1,5,8,-,0.4,76,1.1,-,6.98
41,Granit Xhaka,Arsenal,31," D(L),M(C)",36(1),3004,7,7,5,-,1.1,86.5,1,1,6.98
42,Lucas Paquetá,West Ham,26," M(CLR),FW",27(1),2171,4,3,5,-,1.9,80.2,1.3,4,6.98
43,James Tarkowski,Everton,31, D(C),38,3420,1,1,6,-,0.8,81.2,3.2,2,6.97
44,Ollie Watkins,Aston Villa,28," AM(LR),FW",36(1),3136,15,6,4,-,2.3,69.9,1.9,3,6.96
45,Diogo Dalot,Man Utd,25," D(LR),M(R)",24(2),2155,1,2,6,-,0.8,80.5,1.5,2,6.96
46,Marcus Tavernier,Bournemouth,25, M(CLR),19(4),1749,5,4,1,-,1.6,77.3,0.7,3,6.95
47,Rúben Neves,Wolves,27, DMC,33(2),3022,6,1,12,-,1.9,84,0.7,5,6.95
48,James Ward-Prowse,Southampton,29, M(CR),38,3373,9,4,6,-,1.2,85.3,1.2,2,6.95
49,Thiago Silva,Chelsea,39, D(C),26(1),2352,-,2,2,-,0.6,91.3,2.3,1,6.95
50,David Raya,Brentford,28, GK,38,3420,-,-,1,-,-,60.7,0.3,3,6.95
51,Son Heung-Min,Tottenham,31," M(CLR),FW",33(3),2899,10,6,2,-,2.3,82,0.3,2,6.95
52,Virgil van Dijk,Liverpool,32, D(C),32,2836,3,1,3,-,0.9,90.5,3.1,2,6.94
53,João Palhinha,Fulham,28, DMC,35,3113,3,-,14,-,1.1,83,2.1,2,6.93
54,Aaron Wan-Bissaka,Man Utd,26," D(LR),M(R)",16(3),1436,-,-,2,-,0.5,83.5,0.7,-,6.93
55,Douglas Luiz,Aston Villa,25, M(C),33(4),2933,6,6,6,1,0.9,86.4,0.7,3,6.93
56,Alisson Becker,Liverpool,31, GK,37,3330,-,1,1,-,-,83.4,0.3,2,6.92
57,Bernd Leno,Fulham,32, GK,36,3240,-,-,3,-,-,76.3,0.3,3,6.92
58,Callum Wilson,Newcastle,32, FW,21(10),1887,18,5,4,-,2.4,67.7,0.6,4,6.92
59,Moisés Caicedo,Brighton,22, DMC,34(3),3141,1,1,10,-,0.8,88.8,1,-,6.92
60,Miguel Almirón,Newcastle,30," AM(CLR),FW",29(5),2508,11,2,2,-,2,84.5,0.2,2,6.91
61,Christian Nørgaard,Brentford,30," D(C),DMC",21(1),1771,1,3,6,-,0.9,76.3,0.8,-,6.90
62,Luke Shaw,Man Utd,28," D(CL),M(L)",30(1),2558,1,2,8,-,0.5,86,1.5,1,6.90
63,Joe Willock,Newcastle,24, M(C),31(4),2578,3,6,1,-,1.7,85.1,0.5,2,6.88
64,Emiliano Martínez,Aston Villa,31, GK,36,3141,-,-,7,-,-,71.6,0.4,3,6.87
65,Oleksandr Zinchenko,Arsenal,27," D(L),M(CLR)",26(1),2135,1,2,3,-,1,87.8,1.9,1,6.86
66,Jacob Ramsey,Aston Villa,22, AM(CLR),31(4),2647,6,7,5,-,0.9,83.7,0.5,1,6.86
67,Roberto Firmino,Liverpool,32," M(CLR),FW",13(12),1213,11,4,-,-,1.6,79.9,0.6,2,6.85
68,Sèrge Aurier,Nottingham Forest,31," D(CLR),M(R)",22(2),1949,1,-,2,-,0.4,72.8,1.9,1,6.85
69,Leandro Trossard,Arsenal,29," M(CLR),FW",10(10),930,1,10,-,-,0.9,84.3,0.1,2,6.84
70,Gabriel Magalhães,Arsenal,26, D(C),38,3411,3,-,5,-,0.8,89.7,2.6,2,6.84
71,Lisandro Martínez,Man Utd,26," D(CL),DMC",24(3),2117,1,-,6,-,0.4,87.3,1.2,-,6.84
72,Morgan Gibbs-White,Nottingham Forest,24," AM(CLR),FW",34(1),2978,5,8,5,-,1.7,69,1.6,5,6.84
73,Kalidou Koulibaly,Chelsea,32, D(C),20(3),1801,2,1,5,1,0.5,87.1,1.4,-,6.83
74,Jadon Sancho,Man Utd,24, AM(CLR),21(5),1699,6,3,-,-,0.8,85,0.1,-,6.82
75,Philip Billing,Bournemouth,27," M(C),FW",34(2),2787,7,1,5,-,1.1,79.4,1.4,3,6.82
76,Antony,Man Utd,24, AM(R),23(2),1819,4,2,5,-,2.9,82.2,0.2,1,6.82
77,Alex Iwobi,Everton,28, M(CLR),38,3382,2,7,2,-,1.1,78.8,0.3,-,6.82
78,Wilfried Zaha,Crystal Palace,31," AM(LR),FW",27,2295,7,2,5,-,2.4,81.3,0.2,2,6.82
79,Mathias Jensen,Brentford,28, M(C),37,2830,5,6,5,-,0.6,75.7,0.3,3,6.81
80,John McGinn,Aston Villa,29, M(CLR),30(4),2698,1,3,7,-,1.2,81.5,0.6,2,6.81
81,Kepa,Chelsea,29, GK,29,2566,-,-,1,-,-,80.7,0.4,2,6.81
82,Jarrod Bowen,West Ham,27," AM(CLR),FW",36(2),3237,6,5,2,-,2,72.7,0.9,3,6.80
83,Tomás Soucek,West Ham,29, M(C),32(4),2820,2,3,3,-,0.9,72.1,3.2,1,6.80
84,Bernardo Silva,Man City,29," M(CLR),FW",24(10),2203,4,5,5,-,0.7,89.1,0.1,-,6.80
85,Allan Saint-Maximin,Newcastle,27," AM(CLR),FW",12(13),1119,1,5,1,-,1.1,75.1,0.1,2,6.80
86,Jordan Ayew,Crystal Palace,32," AM(CLR),FW",31(7),2721,4,3,5,-,0.8,80.5,1.3,1,6.80
87,John Stones,Man City,29," D(CR),DMC",21(2),1849,2,2,2,-,0.5,93.2,1.4,-,6.80
88,Cristian Romero,Tottenham,26, D(C),26(1),2365,-,1,9,1,0.4,87.7,2.1,1,6.80
89,Youri Tielemans,Leicester,26, M(C),27(4),2351,3,2,4,-,1,82.1,0.8,1,6.80
90,Rúben Dias,Man City,26, D(C),22(4),1999,-,-,3,-,0.4,92.7,1.7,-,6.79
91,Joachim Andersen,Crystal Palace,27, D(C),32,2784,1,-,8,-,0.7,79.7,2.7,-,6.79
92,Darwin Núñez,Liverpool,24," AM(CL),FW",19(10),1701,9,3,1,1,2.9,67.1,1.2,2,6.79
93,Pervis Estupiñán,Brighton,26," D(L),M(L)",31(4),2683,1,5,4,-,0.8,84,1,2,6.79
94,Dominic Solanke,Bournemouth,26, FW,32(1),2873,6,7,2,-,2.3,69.8,1.6,3,6.79
95,Mohammed Salisu,Southampton,25, D(CL),21(1),1973,-,1,5,-,0.9,76.8,2.5,-,6.79
96,Ben White,Arsenal,26," D(CR),DMC",36(2),3068,2,5,5,-,0.3,86.6,0.9,-,6.78
97,Andy Robertson,Liverpool,30," D(L),M(L)",29(5),2588,-,8,3,-,0.4,84.2,0.6,-,6.78
98,Julio Enciso,Brighton,20, AM(CL),7(13),802,4,2,1,-,1.9,72.7,0.3,1,6.78
99,Dejan Kulusevski,Tottenham,24," AM(CR),FW",23(7),2079,2,7,2,-,1.4,82.5,0.1,1,6.78
100,William Saliba,Arsenal,23, D(C),27,2416,2,1,4,-,0.2,91,2,1,6.77
101,Emerson Royal,Tottenham,25," D(CR),M(R)",20(6),1737,2,1,2,1,0.7,83.1,1.1,1,6.77
102,Dan Burn,Newcastle,31," D(CL),M(L)",35(3),3117,1,-,6,-,0.6,78.6,2.2,1,6.77
103,Neto,Bournemouth,34, GK,27,2386,-,-,4,-,-,56,0.2,2,6.76
104,Vicente Guaita,Crystal Palace,37, GK,27,2430,-,-,1,-,-,67.5,0.4,2,6.76
105,Danny Welbeck,Brighton,33," AM(CLR),FW",21(10),1859,6,3,-,-,2,84.7,1,2,6.76
106,Kai Havertz,Chelsea,24," M(CR),FW",30(5),2580,7,1,5,-,2,82.4,2.3,2,6.75
107,Nathan Aké,Man City,29," D(CL),DMC",22(4),1876,1,-,2,-,0.3,91.1,1.4,-,6.75
108,Antonee Robinson,Fulham,26," D(L),M(L)",35,3089,-,1,8,-,0.1,76.9,1.1,-,6.75
109,Tyrone Mings,Aston Villa,31, D(CL),35,3150,1,2,7,-,0.2,85.3,1.8,1,6.75
110,Sven Botman,Newcastle,24, D(C),35(1),3129,-,-,2,-,0.6,86.8,2.1,-,6.74
111,Ivan Perisic,Tottenham,35," M(CLR),FW",23(11),2112,1,8,6,-,0.9,72.3,1,1,6.74
112,Tosin Adarabioyo,Fulham,26, D(CR),23(2),2084,1,-,4,-,0.6,82.4,2.4,-,6.74
113,Dango Ouattara,Bournemouth,22," D(L),M(LR)",15(4),1246,1,3,1,-,1.4,65.8,1.6,1,6.74
114,Raheem Sterling,Chelsea,29," M(CLR),FW",23(5),1905,6,3,4,-,1.5,78.9,0.2,2,6.74
115,Diogo Jota,Liverpool,27," AM(CLR),FW",12(10),1133,7,4,2,-,1.6,75.9,0.8,1,6.74
116,Tyler Adams,Leeds,25," D(R),M(CR)",24,2157,-,-,4,1,0.2,82.4,1.1,-,6.73
117,Andreas Pereira,Fulham,28, M(CLR),33,2718,4,6,8,-,1.9,73.7,0.3,3,6.73
118,Jack Harrison,Leeds,27," AM(CLR),FW",34(2),2729,5,7,2,-,1.1,71,0.1,4,6.72
119,Cheick Doucouré,Crystal Palace,24, DMC,34,2786,-,3,9,1,1.1,83.6,0.9,-,6.72
120,Timothy Castagne,Leicester,28," D(CLR),M(LR)",36(1),3257,2,3,3,-,0.5,80.7,1.5,1,6.71
121,Armel Bella-Kotchap,Southampton,22, D(C),24,1885,-,2,4,-,0.6,80.3,1.7,-,6.71
122,Kiernan Dewsbury-Hall,Leicester,25, M(C),28(3),2316,2,2,3,1,0.8,78.5,0.5,1,6.71
123,Álex Moreno,Aston Villa,30," D(L),M(L)",14(5),1336,-,3,3,-,0.7,79.4,0.5,-,6.71
124,Fabinho,Liverpool,30," D(CR),DMC",31(5),2678,-,2,11,-,0.5,88.7,0.8,-,6.71
125,Amadou Onana,Everton,22, DMC,29(4),2496,1,2,9,-,1,84,1.8,-,6.71
126,Victor Lindelöf,Man Utd,29, D(CLR),14(6),1361,-,-,1,-,0.2,93.2,1.7,-,6.70
127,Julián Álvarez,Man City,24," AM(CR),FW",13(18),1454,9,-,-,-,1.5,82.7,0.3,2,6.70
128,Nick Pope,Newcastle,32, GK,37,3262,-,-,3,1,-,58.8,0.1,2,6.70
129,Saïd Benrahma,West Ham,28, AM(CLR),22(13),2073,6,3,-,-,2.1,82,0.1,1,6.70
130,Emiliano Buendía,Aston Villa,27," M(CLR),FW",27(11),2423,5,2,-,-,1.3,78.6,0.6,2,6.70
131,Mason Mount,Chelsea,25, M(CLR),20(4),1658,3,2,4,-,1.4,80.1,0.4,2,6.70
132,Christian Eriksen,Man Utd,32," M(CLR),FW",25(3),2062,1,8,3,-,1.4,84.6,0.3,1,6.70
133,Jordan Pickford,Everton,30, GK,37,3330,-,1,6,-,-,51.8,0.2,2,6.69
134,Joe Gomez,Liverpool,26, D(CLR),15(6),1461,-,-,3,-,0.3,86.6,2.2,-,6.69
135,Kurt Zouma,West Ham,29, D(CR),24(1),1991,2,-,-,-,0.8,84.5,2.2,2,6.68
136,Marc Guéhi,Crystal Palace,23, D(C),37,3330,1,-,8,-,0.4,85.5,1.5,-,6.68
137,Rodrigo,Leeds,33," M(CLR),FW",23(8),1945,13,1,6,-,2.2,72.5,1.1,1,6.68
138,Lukasz Fabianski,West Ham,39, GK,36,3114,-,-,1,-,-,58.1,0.5,-,6.68
139,Evan Ferguson,Brighton,19, FW,10(9),952,6,2,1,-,1.9,81.1,0.5,-,6.67
140,David de Gea,Man Utd,33, GK,38,3420,-,-,-,-,-,68.3,0.1,1,6.67
141,Jan Bednarek,Southampton,28, D(C),20,1674,-,-,5,-,0.4,84.2,2.1,-,6.67
142,Pascal Struijk,Leeds,24," D(CL),DMC",26(3),2205,2,1,5,-,0.6,79.5,2.1,-,6.66
143,Eric Dier,Tottenham,30," D(CR),DMC",31(2),2817,2,1,3,-,0.5,85.9,2.4,1,6.66
144,Tim Ream,Fulham,36," D(CL),DMC",33,2899,1,-,2,-,0.1,87,1.5,1,6.66
145,Issa Diop,Fulham,27, D(C),21(4),2009,1,-,2,-,0.1,87.1,1.3,-,6.66
146,Jeffrey Schlupp,Crystal Palace,31," D(L),M(CLR)",30(4),2546,3,1,7,-,0.8,75.5,0.8,1,6.66
147,Harvey Barnes,Leicester,26, AM(CL),32(2),2720,13,1,3,-,2.1,73.5,0.9,-,6.66
148,Wout Faes,Leicester,26, D(CL),31,2787,1,2,4,1,0.4,85.8,1.9,-,6.66
149,Idrissa Gueye,Everton,34, M(C),32(1),2594,-,1,7,-,0.5,84.5,0.8,-,6.65
150,Jefferson Lerma,Bournemouth,29," D(CR),DMC",37,3256,5,-,7,-,0.9,82.2,1.7,1,6.65
151,Marc Cucurella,Chelsea,25," D(CL),M(L)",21(3),1679,-,2,4,-,0.3,86.4,0.7,-,6.65
152,Joel Ward,Crystal Palace,34," D(CLR),DMC,M(R)",24(4),2256,1,-,6,-,0.3,75.4,2.1,-,6.65
153,Raphaël Varane,Man Utd,31, D(C),22(2),1917,-,-,1,-,0.3,86.5,1.8,-,6.64
154,Rico Henry,Brentford,26," D(L),M(L)",37,3244,-,2,4,-,0.6,75,1.1,-,6.64
155,Sean Longstaff,Newcastle,26, DMC,28(5),2517,1,4,2,-,1,82.8,0.7,-,6.64
156,Tyrell Malacia,Man Utd,24, D(L),14(8),1395,-,-,6,-,0.2,87.4,0.4,-,6.64
157,Vladimír Coufal,West Ham,31," D(R),M(R)",24(3),2139,-,1,5,-,0.2,65.8,1.5,-,6.64
158,Vitaly Janelt,Brentford,25," D(L),DMC",24(11),2212,3,1,3,-,0.4,80.9,0.9,2,6.63
159,Ben Davies,Tottenham,31," D(CL),M(L)",26(5),2290,2,2,4,-,0.5,83.2,2.3,-,6.63
160,Maximilian Kilman,Wolves,26, D(C),37,3308,-,-,3,-,0.4,83.4,2.3,1,6.63
161,Aaron Ramsdale,Arsenal,25, GK,38,3420,-,-,1,-,-,63.4,0.2,1,6.63
162,Rasmus Kristensen,Leeds,26," D(CR),M(R)",21(5),1962,3,1,4,-,0.5,69.3,1.3,-,6.63
163,Demarai Gray,Everton,27," AM(CLR),FW",27(6),2512,4,1,3,-,1.8,81.3,0.4,1,6.62
164,Lewis Dunk,Brighton,32, D(C),36,3240,1,-,4,-,0.6,90.4,1.9,-,6.62
165,Ben Chilwell,Chelsea,27," D(L),M(L)",15(8),1408,2,2,3,-,0.7,83.3,1.1,-,6.62
166,Leon Bailey,Aston Villa,26," M(CLR),FW",26(7),1984,4,4,4,-,1.5,69.2,0.7,3,6.61
167,Aaron Cresswell,West Ham,34," D(CL),M(L)",24(4),2237,-,1,3,-,0.3,81.4,1,-,6.61
168,Matheus Nunes,Wolves,25, M(CLR),31(4),2480,1,1,2,1,0.8,82.3,0.6,2,6.60
169,Neco Williams,Nottingham Forest,23," D(LR),M(LR)",20(11),1877,1,-,7,-,0.8,66.8,0.5,1,6.60
170,Ché Adams,Southampton,27," AM(CL),FW",23(5),1998,5,3,1,-,1.7,67.6,2.2,1,6.60
171,Lloyd Kelly,Bournemouth,25, D(CL),23,2041,-,2,3,-,0.1,81.4,1.6,2,6.59
172,Joël Veltman,Brighton,32," D(CR),M(R)",25(6),2196,1,1,6,-,0.5,85.2,0.8,-,6.59
173,Anthony Martial,Man Utd,28," AM(LR),FW",11(10),980,6,2,-,-,1.3,81.6,0.5,-,6.59
174,Manuel Akanji,Man City,28," D(CLR),DMC",24(5),2287,-,1,2,-,0.5,93.3,0.8,-,6.59
175,Vitalii Mykolenko,Everton,24," D(CL),M(L)",30(4),2657,-,-,4,-,0.3,75.6,0.8,-,6.58
176,Kyle Walker-Peters,Southampton,27," D(LR),M(R)",30(1),2653,1,-,4,-,0.4,78.9,0.5,1,6.58
177,Chris Mepham,Bournemouth,26, D(C),24(2),2198,-,-,7,-,0.3,83.7,2,-,6.58
178,Luis Sinisterra,Leeds,24," AM(LR),FW",13(6),875,5,-,1,1,1.5,81.5,0.9,1,6.58
179,Joe Worrall,Nottingham Forest,27, D(C),21(9),2217,1,-,6,-,0.2,78.5,1.8,-,6.58
180,Ashley Young,Aston Villa,38," D(LR),M(LR)",23(6),2039,1,-,7,-,0.5,77.5,0.5,-,6.58
181,Ezri Konsa,Aston Villa,26, D(CR),37(1),3323,-,-,6,-,0.2,88.9,1.5,-,6.57
182,Jordan Henderson,Liverpool,33," D(C),M(CLR)",23(12),2075,-,2,2,-,0.7,84.9,0.3,-,6.57
183,Séamus Coleman,Everton,35," D(CR),M(R)",20(3),1667,1,-,1,-,0.3,75.5,0.8,1,6.57
184,Ryan Christie,Bournemouth,29," M(CLR),FW",22(10),1842,1,1,2,-,1,82.7,0.5,-,6.56
185,Matty Cash,Aston Villa,26," D(R),M(CLR)",20(6),1821,-,1,4,-,0.3,78.6,0.5,1,6.56
186,Roméo Lavia,Southampton,20, DMC,26(3),2230,1,-,9,-,0.4,86.4,0.3,-,6.56
187,Ruben Loftus-Cheek,Chelsea,28, M(CLR),19(6),1543,-,1,1,-,0.4,88.6,0.9,-,6.56
188,Boubacar Kamara,Aston Villa,24," D(CL),DMC",21(3),1779,-,1,4,-,0.2,84.9,0.9,-,6.56
189,Luke Ayling,Leeds,32," D(CR),M(R)",22(7),2049,2,1,3,-,0.8,69.2,1.6,-,6.55
190,Hugo Lloris,Tottenham,37, GK,25,2206,-,-,-,-,-,73.5,0.4,-,6.55
191,Joe Aribo,Southampton,27," M(CLR),FW",13(8),1229,2,-,2,-,0.7,74.1,1.4,-,6.55
192,Clément Lenglet,Tottenham,28, D(C),24(2),2027,-,2,4,-,0.5,87.5,1.7,-,6.55
193,Conor Gallagher,Chelsea,24, M(CL),18(17),1616,3,1,9,1,0.8,84.5,0.5,2,6.54
194,Renan Lodi,Nottingham Forest,26," D(L),M(L)",26(2),2222,-,1,7,-,0.5,71.3,0.6,-,6.54
195,Kyle Walker,Man City,33," D(CR),M(R)",22(5),1957,-,-,3,-,0.2,89.5,0.9,-,6.54
196,Daniel Amartey,Leicester,29," D(CR),DMC",18(2),1610,-,-,1,-,0.3,91.3,1.7,1,6.53
197,Tyrick Mitchell,Crystal Palace,24," D(L),M(L)",34(2),2896,-,2,5,1,0.2,72.4,0.7,-,6.53
198,José Sá,Wolves,31, GK,36,3240,-,-,2,-,-,65.4,0.2,2,6.53
199,Harvey Elliott,Liverpool,21, AM(CR),18(14),1615,1,2,2,-,1.1,82.9,0.1,-,6.52
200,Marcos Senesi,Bournemouth,26, D(C),29(2),2496,2,-,7,-,0.3,81.4,0.9,1,6.52
201,Adam Webster,Brighton,29, D(C),23(4),1989,-,-,2,-,0.7,88.6,2.2,-,6.52
202,Manor Solomon,Fulham,24, AM(CL),4(15),563,4,-,-,-,0.6,86.4,0.2,-,6.52
203,Robin Koch,Leeds,27," D(C),DMC",36,3178,-,-,7,-,0.5,77.3,3.1,-,6.52
204,Scott McTominay,Man Utd,27," D(C),M(C)",10(14),1151,1,-,8,-,0.5,82.9,1.4,1,6.52
205,Adama Traoré,Wolves,28," M(CLR),FW",12(22),1492,2,1,2,-,0.6,74.1,1.1,-,6.52
206,César Azpilicueta,Chelsea,34," D(CLR),M(R)",16(9),1526,-,-,3,-,0.4,83.7,1.2,-,6.52
207,Yoane Wissa,Brentford,27," AM(L),FW",16(22),1601,7,3,3,-,0.8,72.2,0.6,-,6.51
208,Rayan Aït-Nouri,Wolves,22," D(L),M(L)",9(12),1070,1,-,4,-,0.5,81.9,0.7,-,6.51
209,Nathan Patterson,Everton,22," D(R),M(R)",14(5),1274,-,-,3,-,0.4,79.9,0.5,-,6.51
210,João Moutinho,Wolves,37, M(C),20(11),1787,-,2,3,-,0.5,83.9,0.3,-,6.50
211,Taiwo Awoniyi,Nottingham Forest,26, FW,17(10),1412,10,1,2,-,1.3,64.8,0.7,1,6.50
212,Daniel Podence,Wolves,28," AM(CLR),FW",20(12),1773,6,-,5,-,1.3,70.5,0.2,2,6.50
213,Thilo Kehrer,West Ham,27," D(CLR),M(R)",25(2),2231,-,2,4,-,0.3,85.4,1.3,-,6.50
214,Marc Roca,Leeds,27," D(C),DMC",29(3),2330,1,2,7,-,1.1,79.4,0.6,-,6.50
215,Nélson Semedo,Wolves,30," D(LR),M(R)",31(5),2641,-,1,11,1,0.3,81.7,0.8,-,6.50
216,Ainsley Maitland-Niles,Southampton,26," D(LR),M(CLR)",13(9),1405,-,-,3,-,-,81.1,0.7,-,6.50
217,Harrison Reed,Fulham,29," D(R),M(CR)",35(2),2882,3,4,5,-,0.5,79.8,0.8,-,6.50
218,Wilfred Ndidi,Leicester,27," D(C),DMC",19(8),1683,-,-,4,-,0.3,84,0.9,-,6.49
219,Michail Antonio,West Ham,34," D(R),M(CLR),FW",21(12),1837,5,3,2,-,1.2,57.6,1.5,-,6.49
220,Boubakary Soumaré,Leicester,25, DMC,20(6),1635,-,-,9,-,-,86.1,0.7,-,6.49
221,Jordan Zemura,Bournemouth,24," D(L),M(L)",17(2),1457,-,1,1,-,0.2,69.3,0.4,-,6.49
222,Brennan Johnson,Nottingham Forest,22," AM(CLR),FW",33(5),2941,8,3,6,-,1.4,62.8,0.5,2,6.49
223,Mohamed Elyounoussi,Southampton,29," AM(CLR),FW",27(6),2180,1,1,4,-,1.1,69,1.1,-,6.49
224,Nathan Collins,Wolves,23, D(CR),19(7),1813,-,-,2,1,0.1,88.1,1.4,-,6.48
225,Fred,Man Utd,31, M(C),12(23),1235,2,2,6,-,0.7,80.7,0.3,-,6.48
226,Abdoulaye Doucouré,Everton,31, M(C),17(8),1529,5,2,6,1,0.8,79.6,0.5,-,6.48
227,Kostas Tsimikas,Liverpool,27, D(L),9(11),769,-,4,3,-,0.4,85.4,0.4,-,6.48
228,Mateo Kovacic,Chelsea,29, M(CL),17(10),1708,1,2,8,-,0.9,86,0.4,-,6.48
229,Wilfried Gnonto,Leeds,20, AM(LR),14(10),1353,2,4,7,-,0.9,77,0.3,1,6.48
230,Orel Mangala,Nottingham Forest,26, M(C),20(7),1558,1,1,3,-,0.3,81,0.4,-,6.48
231,Lyanco,Southampton,27, D(CR),11(10),1175,1,1,4,-,0.6,75.5,1.2,-,6.47
232,Kelechi Iheanacho,Leicester,27," AM(C),FW",11(17),1122,5,5,-,-,1.4,76.7,0.5,1,6.47
233,Trevoh Chalobah,Chelsea,24," D(CR),DMC",18(7),1604,-,-,4,-,0.4,88.5,1.2,-,6.47
234,Bobby De Cordova-Reid,Fulham,31," D(R),M(CLR),FW",29(7),2487,4,1,8,-,0.9,72.4,0.3,-,6.46
235,Romain Perraud,Southampton,26," D(L),M(L)",22(7),1839,2,2,4,-,1,74.7,0.5,1,6.46
236,Danny Ward,Leicester,30, GK,26,2340,-,-,-,-,-,70.5,0.2,1,6.46
237,Richarlison,Tottenham,26," AM(CLR),FW",12(15),1008,1,3,3,-,1,72.6,0.7,1,6.46
238,Crysencio Summerville,Leeds,22, AM(LR),12(16),1418,4,2,4,-,1,77.9,0.2,-,6.46
239,Ryan Yates,Nottingham Forest,26, DMC,21(5),1840,-,2,5,-,1,78.2,1.2,-,6.46
