,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Liverpool,38,32,3,3,85,33,52,99,85,15.6,38,1,63.5,84.3,17.6,6.94,9.0,14.5,9.3,8.7,1.4,15.6,6.1,10.2,7.7
1,Manchester City,38,26,3,9,102,35,67,81,102,19.6,60,4,66.6,89.3,13.6,7.05,7.4,13.5,9.3,9.5,1.8,19.6,7.0,12.8,7.8
2,Manchester United,38,18,12,8,66,36,30,66,66,14.3,73,0,55.9,83.6,15.0,6.83,10.3,15.3,9.9,11.1,1.5,14.3,5.7,11.7,11.2
3,Chelsea,38,20,6,12,69,54,15,66,69,16.4,60,0,60.6,85.2,18.7,6.86,8.5,16.8,12.1,10.2,1.7,16.4,5.9,12.1,10.1
4,Leicester,38,18,8,12,67,41,26,62,67,14.2,41,3,57.4,82.8,17.8,6.87,9.9,19.5,11.1,11.0,1.7,14.2,5.0,9.9,11.7
5,Tottenham,38,16,11,11,61,47,14,59,61,11.7,82,3,51.9,81.4,17.1,6.78,14.2,17.5,10.0,11.1,1.7,11.7,4.2,11.8,11.2
6,Wolves,38,15,14,9,51,40,11,59,51,12.1,57,2,48.0,79.2,20.7,6.83,10.5,17.0,11.5,10.7,1.3,12.1,3.9,13.4,9.5
7,Arsenal,38,14,14,10,56,48,8,56,56,10.7,86,5,53.7,83.6,13.5,6.71,14.6,15.4,9.2,11.1,1.9,10.7,4.0,10.8,11.5
8,Sheffield United,38,14,12,12,39,39,0,54,39,9.3,61,2,42.1,74.4,25.3,6.72,11.3,16.1,11.0,10.8,2.1,9.3,3.0,9.1,8.1
9,Burnley,38,15,9,14,43,50,-7,54,43,10.2,67,0,41.0,70.0,25.5,6.74,14.2,14.4,10.2,10.8,2.3,10.2,3.5,6.5,9.7
10,Southampton,38,15,7,16,51,60,-9,52,51,13.1,53,4,48.6,73.4,21.7,6.71,11.9,18.6,11.2,11.8,1.5,13.1,4.8,11.1,10.2
11,Everton,38,13,10,15,44,56,-12,49,44,12.3,70,3,48.8,78.0,23.1,6.68,11.2,17.7,10.7,12.4,1.5,12.3,4.3,9.8,10.4
12,Newcastle,38,11,11,16,38,58,-20,44,38,10.5,66,3,37.8,75.3,19.8,6.65,14.9,15.9,10.3,9.7,2.0,10.5,3.5,10.5,11.1
13,Crystal Palace,38,11,10,17,31,50,-19,43,31,9.9,62,2,44.3,76.5,20.8,6.68,13.5,18.1,11.7,11.2,1.4,9.9,3.2,11.4,12.6
14,Brighton,38,9,14,15,39,54,-15,41,39,12.2,57,2,52.2,81.0,18.7,6.63,13.1,16.9,11.0,10.2,1.9,12.2,3.8,8.8,8.6
15,West Ham,38,10,9,19,49,62,-13,39,49,11.0,62,1,43.5,76.1,22.9,6.72,13.2,18.3,11.1,10.2,1.7,11.0,4.3,10.4,9.1
16,Aston Villa,38,9,8,21,41,67,-26,35,41,12.0,68,1,43.3,76.9,19.0,6.62,16.0,13.8,11.1,11.9,1.6,12.0,3.9,9.2,13.8
17,Bournemouth,38,9,7,22,40,65,-25,34,40,10.2,74,3,43.4,75.4,21.1,6.6,14.7,13.3,12.5,9.7,1.8,10.2,3.2,8.6,10.2
18,Watford,38,8,10,20,36,64,-28,34,36,11.2,76,3,41.9,73.5,21.9,6.59,13.1,17.3,11.2,12.7,1.8,11.2,3.2,8.4,9.0
19,Norwich,38,5,6,27,26,75,-49,21,26,10.8,68,3,49.1,80.5,14.1,6.52,16.0,16.5,10.4,9.6,1.3,10.8,3.4,11.2,11.3
