team_number,team_name,P,W,D,L,GF,GA,GD,Pts
37,Bayern Munich,34,21,8,5,92,38,+54,71
44,Borussia Dortmund,34,22,5,7,83,44,+39,71
7614,RB Leipzig,34,20,6,8,64,41,+23,66
796,Union Berlin,34,18,8,8,51,38,+13,62
50,Freiburg,34,17,8,9,51,44,+7,59
36,Bayer Leverkusen,34,14,8,12,57,49,+8,50
45,Eintracht Frankfurt,34,13,11,10,58,52,+6,50
33,Wolfsburg,34,13,10,11,57,48,+9,49
219,Mainz 05,34,12,10,12,54,55,-1,46
134,Borussia M.Gladbach,34,11,10,13,52,55,-3,43
282,FC Koln,34,10,12,12,49,54,-5,42
1211,Hoffenheim,34,10,6,18,48,57,-9,36
42,Werder Bremen,34,10,6,18,51,64,-13,36
109,Bochum,34,10,5,19,40,72,-32,35
1730,Augsburg,34,9,7,18,42,63,-21,34
41,VfB Stuttgart,34,7,12,15,45,57,-12,33
39,Schalke 04,34,7,10,17,35,71,-36,31
47,Hertha Berlin,34,7,8,19,42,69,-27,29
